2026-07-07 16:42:01 | INFO | src.audit.baseline_models | baseline_models.py:41 | Starting baseline model training
2026-07-07 16:42:01 | INFO | src.audit.preprocessing | preprocessing.py:34 | Starting preprocessing pipeline creation
2026-07-07 16:42:01 | INFO | src.audit.preprocessing | preprocessing.py:80 | Preprocessing pipeline created successfully
2026-07-07 16:42:01 | INFO | src.audit.preprocessing | preprocessing.py:133 | Starting train-test split
2026-07-07 16:42:01 | INFO | src.audit.preprocessing | preprocessing.py:97 | Splitting features and target
2026-07-07 16:42:01 | WARNING | src.audit.preprocessing | preprocessing.py:147 | Stratified split skipped because at least one class has less than 2 samples
2026-07-07 16:42:01 | INFO | src.audit.preprocessing | preprocessing.py:165 | Train-test split completed successfully
2026-07-07 16:42:01 | INFO | src.audit.baseline_models | baseline_models.py:69 | Training baseline model: Logistic Regression
2026-07-07 16:42:01 | WARNING | src.audit.baseline_models | baseline_models.py:204 | ROC-AUC skipped: Number of classes in y_true not equal to the number of columns in 'y_score'
2026-07-07 16:42:01 | INFO | src.audit.baseline_models | baseline_models.py:103 | Completed model: Logistic Regression
2026-07-07 16:42:01 | INFO | src.audit.baseline_models | baseline_models.py:69 | Training baseline model: Random Forest Classifier
2026-07-07 16:42:01 | WARNING | src.audit.baseline_models | baseline_models.py:204 | ROC-AUC skipped: Number of classes in y_true not equal to the number of columns in 'y_score'
2026-07-07 16:42:01 | INFO | src.audit.baseline_models | baseline_models.py:103 | Completed model: Random Forest Classifier
2026-07-07 16:42:01 | INFO | src.audit.baseline_models | baseline_models.py:122 | Baseline model training completed successfully
2026-07-07 16:42:01 | INFO | src.audit.workflow | workflow.py:135 | Workflow node started: mlflow
2026-07-07 16:42:01 | INFO | src.audit.mlflow_tracker | mlflow_tracker.py:22 | Starting MLflow tracking
2026-07-07 16:42:01 | INFO | src.audit.mlflow_tracker | mlflow_tracker.py:38 | Logging MLflow run for model: Logistic Regression
2026-07-07 16:42:02 | INFO | src.audit.mlflow_tracker | mlflow_tracker.py:38 | Logging MLflow run for model: Random Forest Classifier
2026-07-07 16:42:02 | INFO | src.audit.mlflow_tracker | mlflow_tracker.py:64 | MLflow tracking completed successfully
2026-07-07 16:42:02 | INFO | src.audit.workflow | workflow.py:145 | Workflow node started: audit_report
2026-07-07 16:42:02 | INFO | src.audit.llm_report | llm_report.py:15 | Building audit report
2026-07-07 16:42:02 | INFO | src.audit.llm_report | llm_report.py:65 | Audit report built successfully
2026-07-07 16:42:02 | INFO | src.audit.llm_report | llm_report.py:78 | Saving audit report
2026-07-07 16:42:02 | INFO | src.audit.llm_report | llm_report.py:84 | Audit report saved at: reports/audit_report.md
2026-07-07 16:42:02 | INFO | src.audit.workflow | workflow.py:207 | Agentic ML audit workflow completed successfully
2026-07-07 16:42:02 | INFO | app.api | api.py:80 | Audit request completed successfully
2026-07-07 16:50:49 | INFO | src.audit.workflow | workflow.py:195 | Starting Agentic ML audit workflow
2026-07-07 16:50:49 | INFO | src.audit.workflow | workflow.py:42 | Workflow node started: load_dataset
2026-07-07 16:50:49 | INFO | src.audit.workflow | workflow.py:55 | Workflow node started: profile_dataset
2026-07-07 16:50:49 | INFO | src.audit.profiler | profiler.py:145 | Dataset profiling completed
2026-07-07 16:50:49 | INFO | src.audit.workflow | workflow.py:66 | Workflow node started: problem_type
2026-07-07 16:50:49 | INFO | src.audit.problem_type | problem_type.py:68 | Problem type detected: binary_classification
2026-07-07 16:50:49 | INFO | src.audit.workflow | workflow.py:79 | Workflow node started: data_quality
2026-07-07 16:50:49 | INFO | src.audit.data_quality | data_quality.py:235 | Data quality audit completed
2026-07-07 16:50:49 | INFO | src.audit.workflow | workflow.py:90 | Workflow node started: leakage
2026-07-07 16:50:49 | INFO | src.audit.leakage | leakage.py:269 | Leakage check completed
2026-07-07 16:50:49 | INFO | src.audit.workflow | workflow.py:101 | Workflow node started: metric_recommendation
2026-07-07 16:50:49 | INFO | src.audit.metric_recommender | metric_recommender.py:22 | Starting metric recommendation
2026-07-07 16:50:49 | INFO | src.audit.metric_recommender | metric_recommender.py:84 | Metric recommendation completed successfully
2026-07-07 16:50:49 | INFO | src.audit.workflow | workflow.py:111 | Workflow node started: class_imbalance
2026-07-07 16:50:49 | INFO | src.audit.class_imbalance | class_imbalance.py:22 | Starting class imbalance detection
2026-07-07 16:50:49 | INFO | src.audit.class_imbalance | class_imbalance.py:87 | Class imbalance detection completed successfully
2026-07-07 16:50:49 | INFO | src.audit.workflow | workflow.py:123 | Workflow node started: baseline_model
2026-07-07 16:50:49 | INFO | src.audit.baseline_models | baseline_models.py:41 | Starting baseline model training
2026-07-07 16:50:49 | INFO | src.audit.preprocessing | preprocessing.py:34 | Starting preprocessing pipeline creation
2026-07-07 16:50:49 | INFO | src.audit.preprocessing | preprocessing.py:80 | Preprocessing pipeline created successfully
2026-07-07 16:50:49 | INFO | src.audit.preprocessing | preprocessing.py:133 | Starting train-test split
2026-07-07 16:50:49 | INFO | src.audit.preprocessing | preprocessing.py:97 | Splitting features and target
2026-07-07 16:50:49 | INFO | src.audit.preprocessing | preprocessing.py:165 | Train-test split completed successfully
2026-07-07 16:50:49 | INFO | src.audit.baseline_models | baseline_models.py:69 | Training baseline model: Logistic Regression
2026-07-07 16:50:49 | INFO | src.audit.baseline_models | baseline_models.py:103 | Completed model: Logistic Regression
2026-07-07 16:50:49 | INFO | src.audit.baseline_models | baseline_models.py:69 | Training baseline model: Random Forest Classifier
2026-07-07 16:50:50 | INFO | src.audit.baseline_models | baseline_models.py:103 | Completed model: Random Forest Classifier
2026-07-07 16:50:50 | INFO | src.audit.baseline_models | baseline_models.py:122 | Baseline model training completed successfully
2026-07-07 16:50:50 | INFO | src.audit.workflow | workflow.py:135 | Workflow node started: mlflow
2026-07-07 16:50:50 | INFO | src.audit.mlflow_tracker | mlflow_tracker.py:22 | Starting MLflow tracking
2026-07-07 16:50:50 | INFO | src.audit.mlflow_tracker | mlflow_tracker.py:38 | Logging MLflow run for model: Logistic Regression
2026-07-07 16:50:50 | INFO | src.audit.mlflow_tracker | mlflow_tracker.py:38 | Logging MLflow run for model: Random Forest Classifier
2026-07-07 16:50:51 | INFO | src.audit.mlflow_tracker | mlflow_tracker.py:64 | MLflow tracking completed successfully
2026-07-07 16:50:51 | INFO | src.audit.workflow | workflow.py:145 | Workflow node started: audit_report
2026-07-07 16:50:51 | INFO | src.audit.llm_report | llm_report.py:15 | Building audit report
2026-07-07 16:50:51 | INFO | src.audit.llm_report | llm_report.py:65 | Audit report built successfully
2026-07-07 16:50:51 | INFO | src.audit.llm_report | llm_report.py:78 | Saving audit report
2026-07-07 16:50:51 | INFO | src.audit.llm_report | llm_report.py:84 | Audit report saved at: reports/audit_report.md
2026-07-07 16:50:51 | INFO | src.audit.workflow | workflow.py:207 | Agentic ML audit workflow completed successfully
2026-07-07 17:10:41 | INFO | src.audit.workflow | workflow.py:195 | Starting Agentic ML audit workflow
2026-07-07 17:10:41 | INFO | src.audit.workflow | workflow.py:42 | Workflow node started: load_dataset
2026-07-07 17:10:41 | INFO | src.audit.workflow | workflow.py:55 | Workflow node started: profile_dataset
2026-07-07 17:10:41 | INFO | src.audit.profiler | profiler.py:145 | Dataset profiling completed
2026-07-07 17:10:41 | INFO | src.audit.workflow | workflow.py:66 | Workflow node started: problem_type
2026-07-07 17:10:41 | INFO | src.audit.problem_type | problem_type.py:68 | Problem type detected: regression
2026-07-07 17:10:41 | INFO | src.audit.workflow | workflow.py:79 | Workflow node started: data_quality
2026-07-07 17:10:41 | INFO | src.audit.data_quality | data_quality.py:235 | Data quality audit completed
2026-07-07 17:10:41 | INFO | src.audit.workflow | workflow.py:90 | Workflow node started: leakage
2026-07-07 17:10:41 | INFO | src.audit.leakage | leakage.py:269 | Leakage check completed
2026-07-07 17:10:41 | INFO | src.audit.workflow | workflow.py:101 | Workflow node started: metric_recommendation
2026-07-07 17:10:41 | INFO | src.audit.metric_recommender | metric_recommender.py:22 | Starting metric recommendation
2026-07-07 17:10:41 | INFO | src.audit.metric_recommender | metric_recommender.py:84 | Metric recommendation completed successfully
2026-07-07 17:10:41 | INFO | src.audit.workflow | workflow.py:111 | Workflow node started: class_imbalance
2026-07-07 17:10:41 | INFO | src.audit.class_imbalance | class_imbalance.py:22 | Starting class imbalance detection
2026-07-07 17:10:41 | INFO | src.audit.workflow | workflow.py:123 | Workflow node started: baseline_model
2026-07-07 17:10:41 | INFO | src.audit.baseline_models | baseline_models.py:41 | Starting baseline model training
2026-07-07 17:10:41 | INFO | src.audit.preprocessing | preprocessing.py:34 | Starting preprocessing pipeline creation
2026-07-07 17:10:41 | INFO | src.audit.preprocessing | preprocessing.py:80 | Preprocessing pipeline created successfully
2026-07-07 17:10:41 | INFO | src.audit.preprocessing | preprocessing.py:133 | Starting train-test split
2026-07-07 17:10:41 | INFO | src.audit.preprocessing | preprocessing.py:97 | Splitting features and target
2026-07-07 17:10:41 | INFO | src.audit.preprocessing | preprocessing.py:165 | Train-test split completed successfully
2026-07-07 17:10:41 | INFO | src.audit.baseline_models | baseline_models.py:69 | Training baseline model: Linear Regression
